Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2018-11-18,68,71,77,61,63,68,63,74,37,57,68,46,69,76,69,63,71,44,50,80,76,72,69,47,66,53,49,57,67,66,60,73,74,42,71,65,79,72,69,63,50,45,60,71,49,67,67,52,75,62
2018-11-25,90,66,83,83,78,89,78,85,42,65,71,73,80,91,73,67,74,56,78,90,91,83,81,61,89,62,57,85,87,80,67,92,79,57,84,78,100,89,80,73,68,47,80,70,56,74,93,83,93,31
2018-12-02,75,86,75,77,72,82,80,62,38,70,61,61,84,86,89,86,77,47,78,84,85,88,74,58,80,51,54,74,83,78,62,90,77,76,88,78,83,95,71,63,82,50,77,81,61,73,85,83,87,66
2018-12-09,74,59,78,71,75,81,98,52,37,64,62,71,86,88,87,81,75,42,67,74,86,77,81,58,87,88,62,72,74,77,45,78,75,55,75,85,77,89,84,65,62,46,72,85,45,69,85,58,85,77
2018-12-16,72,56,77,58,70,76,78,59,37,64,51,68,75,77,76,62,77,47,72,78,75,75,83,55,79,56,44,72,75,67,58,79,69,58,74,83,93,78,73,64,61,48,67,75,47,70,84,76,97,47
2018-12-23,64,54,64,52,62,67,67,53,33,54,65,51,71,74,63,59,66,44,64,69,71,65,65,55,68,59,51,77,63,62,53,75,67,41,70,62,72,73,63,67,52,45,57,73,18,64,65,48,67,74
2018-12-30,83,34,75,54,68,78,77,56,41,67,73,58,76,80,87,66,78,42,65,72,91,73,77,57,71,65,57,68,90,78,51,86,80,44,72,67,83,84,74,69,50,48,65,79,57,71,75,48,86,27
2019-01-06,86,60,87,70,74,79,84,60,37,67,58,65,77,93,84,80,79,45,58,82,85,80,84,66,68,84,62,86,82,80,52,84,82,47,82,72,95,95,82,67,48,50,74,71,69,76,88,80,92,38
2019-01-13,77,61,84,63,76,83,78,48,37,62,62,75,86,80,72,77,81,46,64,81,76,73,75,67,83,89,71,67,91,74,60,75,84,55,76,81,89,79,71,72,66,50,70,68,55,74,84,74,96,46
2019-01-20,79,55,68,63,75,75,90,68,41,64,68,71,79,82,80,76,65,42,69,82,83,75,80,73,83,74,64,77,59,79,56,75,79,43,81,87,91,87,76,73,42,47,71,72,60,77,78,77,83,70
2019-01-27,75,92,77,65,75,92,80,61,40,60,59,90,70,77,74,79,69,47,61,74,82,65,70,59,76,72,56,80,93,72,61,78,77,43,76,75,88,75,65,78,49,52,70,97,49,73,91,73,86,52
2019-02-03,70,22,83,77,74,83,80,55,43,68,62,77,92,79,80,71,79,42,72,84,86,77,80,68,83,52,56,77,80,73,78,82,77,48,90,81,73,88,74,74,70,50,76,88,66,73,72,86,88,25
2019-02-10,82,71,79,74,70,83,77,66,39,67,59,71,88,82,83,80,81,49,64,80,91,77,79,55,83,57,55,85,67,72,69,80,77,56,87,76,86,90,73,62,42,54,74,79,41,75,68,86,88,52
2019-02-17,74,47,84,65,74,83,73,78,41,64,74,68,89,84,81,73,85,48,74,85,88,82,83,66,85,48,58,83,76,81,54,85,82,73,91,81,93,94,98,70,65,47,78,76,57,72,85,81,90,30
2019-02-24,78,56,89,68,72,91,89,67,42,71,63,69,81,79,76,63,80,47,80,85,85,74,85,73,81,63,55,79,79,76,74,86,77,49,86,90,76,90,80,71,62,47,79,76,65,77,83,77,93,50
2019-03-03,80,62,84,70,77,78,83,46,41,62,56,60,87,87,70,71,86,49,70,80,89,78,77,61,80,92,58,82,79,80,77,78,77,48,78,76,94,90,83,84,61,54,79,81,62,75,87,64,95,65
2019-03-10,74,50,83,74,80,98,85,59,41,64,70,70,86,88,75,77,68,51,86,89,87,80,86,61,79,58,43,83,83,81,55,78,76,65,88,85,96,88,75,83,53,51,72,82,49,77,87,75,88,24
2019-03-17,80,44,77,77,82,75,86,69,39,62,75,75,89,85,58,77,69,47,61,76,93,85,85,60,87,51,65,88,74,78,74,86,80,75,81,70,90,91,68,76,63,50,78,77,61,81,91,86,85,43
2019-03-24,80,70,83,68,78,84,89,63,41,66,73,81,85,95,91,65,71,50,100,84,89,85,82,64,83,51,62,85,70,84,84,84,78,62,84,87,87,96,85,69,73,56,79,82,60,76,95,82,92,53
