Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2018-11-18,13,12,11,15,15,8,14,13,11,11,19,12,16,17,19,16,16,16,16,5,23,16,14,9,18,12,9,17,14,17,16,23,13,11,14,12,15,11,10,16,12,13,7,21,13,18,9,18,12,15
2018-11-25,16,18,20,19,25,14,22,18,27,18,28,17,25,22,27,27,23,21,12,20,27,20,25,34,28,16,25,27,24,25,29,21,18,18,23,19,20,13,15,25,18,21,18,23,20,22,18,24,14,23
2018-12-02,15,14,18,20,20,14,22,21,28,25,18,17,24,22,30,20,23,19,11,20,21,22,22,22,23,14,18,21,20,17,24,31,16,14,22,20,22,15,14,22,19,17,15,30,20,22,24,19,16,20
2018-12-09,17,16,16,18,23,16,22,16,26,21,26,16,22,19,25,18,23,21,10,23,20,22,21,29,24,10,17,25,22,20,22,24,14,16,22,18,18,12,13,25,16,15,11,30,17,21,22,22,18,19
2018-12-16,14,18,16,17,18,11,19,19,22,15,21,15,18,16,23,17,18,18,10,12,31,19,18,14,22,15,19,22,17,16,19,22,17,13,17,17,21,15,11,22,18,17,11,25,17,20,20,18,11,18
2018-12-23,11,11,12,11,12,9,13,8,7,7,8,12,13,9,15,17,13,13,6,7,21,12,13,10,15,8,0,16,12,8,14,14,12,9,14,14,10,7,7,14,12,9,4,12,12,13,7,11,10,13
2018-12-30,13,14,15,16,20,13,17,26,21,17,13,15,20,18,25,18,19,18,15,13,28,21,18,15,23,13,33,20,16,21,19,16,13,12,21,13,19,13,11,19,14,17,14,23,17,19,17,15,19,20
2019-01-06,19,18,19,24,25,15,21,23,23,24,21,16,26,22,29,21,24,19,15,14,21,29,23,19,29,15,19,29,23,25,24,18,19,18,27,12,25,12,16,24,18,16,17,34,21,26,17,24,25,24
2019-01-13,13,18,18,23,23,15,22,21,24,22,26,20,28,23,28,30,28,24,19,16,26,25,23,34,29,12,14,28,25,24,21,33,19,18,27,17,21,16,16,25,23,19,17,27,21,25,21,21,18,22
2019-01-20,18,23,19,21,21,14,23,19,20,27,24,17,30,21,27,25,24,23,19,32,37,23,24,20,28,20,15,23,22,20,28,26,19,17,27,17,25,13,13,23,19,17,15,19,20,22,17,23,16,25
2019-01-27,17,15,20,18,22,15,24,15,27,18,28,18,27,26,29,27,21,23,18,12,33,26,27,33,30,16,16,24,23,21,28,24,19,16,26,17,25,18,15,22,20,21,13,29,18,24,20,21,21,22
2019-02-03,15,21,18,21,20,17,26,21,30,25,19,21,29,22,30,24,22,25,10,19,28,28,25,34,29,19,14,28,19,20,25,25,18,17,28,6,25,16,16,30,25,20,19,29,23,29,22,25,17,24
2019-02-10,16,25,18,22,23,14,26,15,28,28,20,17,26,23,29,26,27,21,13,23,27,26,24,20,29,16,16,24,20,22,26,30,15,16,28,23,27,17,14,32,21,19,12,23,20,23,19,21,17,23
2019-02-17,20,22,17,22,26,14,21,22,27,22,30,17,23,25,29,28,25,22,17,19,36,25,25,22,27,13,16,28,20,22,27,39,20,16,25,18,23,12,15,29,21,17,10,23,21,25,25,22,17,25
2019-02-24,18,19,20,21,20,15,23,23,17,18,23,17,27,24,29,31,22,23,16,12,22,23,25,24,29,11,26,23,22,23,24,31,17,17,26,18,24,13,13,23,20,23,19,29,21,20,27,21,20,22
2019-03-03,19,18,16,22,24,15,22,16,23,21,26,18,26,24,29,23,22,21,13,20,23,28,24,21,25,12,19,26,22,21,24,24,17,16,24,16,23,17,15,28,17,21,11,27,21,28,22,23,17,24
2019-03-10,15,25,23,22,24,17,24,17,22,18,18,21,27,22,28,24,25,21,14,16,29,24,20,37,32,21,25,22,25,20,24,25,19,17,22,23,20,16,14,25,23,19,13,28,22,20,23,22,21,21
2019-03-17,16,18,19,22,21,14,25,19,33,28,22,17,28,22,26,20,21,24,18,20,30,22,24,36,30,16,31,22,22,17,20,19,16,16,25,16,21,16,13,21,17,16,10,26,22,27,25,20,18,22
2019-03-24,25,18,19,19,24,17,25,21,33,27,19,19,26,23,27,21,20,22,17,19,29,25,27,28,28,13,23,22,23,30,26,16,20,15,25,24,21,20,14,34,24,21,18,28,20,26,23,22,21,24
2019-03-31,18,27,19,23,21,17,25,20,25,26,23,18,27,26,27,21,26,22,12,22,27,24,26,45,30,20,16,23,23,20,32,23,17,16,24,15,24,18,15,21,21,20,19,27,21,24,20,21,22,20
2019-04-07,18,23,18,22,23,15,25,20,29,31,29,19,26,24,29,24,23,21,13,16,13,25,25,29,31,23,26,28,21,20,24,27,18,16,26,20,26,17,16,21,17,18,15,29,23,27,11,25,23,22
2019-04-14,17,16,17,23,25,13,24,17,28,23,17,15,23,20,28,21,22,19,20,10,34,25,23,35,26,8,17,27,26,21,26,32,21,15,24,15,23,14,15,33,18,21,17,24,19,27,17,19,21,22
2019-04-21,15,24,18,21,26,14,26,8,21,22,21,16,25,23,28,23,25,22,15,16,19,26,25,26,29,15,10,27,22,24,24,24,16,16,25,16,25,13,15,36,26,20,21,27,20,25,15,20,18,24
2019-04-28,17,17,17,19,27,16,22,20,28,27,16,18,23,18,28,23,24,23,14,14,42,21,25,32,26,19,18,25,21,22,23,32,21,18,23,23,20,16,15,22,19,19,14,27,19,23,33,22,22,26
2019-05-05,17,19,19,23,23,14,26,10,21,28,22,17,25,25,26,19,23,21,20,10,28,22,24,32,26,17,22,27,23,20,23,19,18,17,24,18,22,17,14,25,21,18,8,28,19,24,16,21,14,25
