Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2018-11-18,60,78,70,66,55,60,64,37,28,52,63,49,64,74,69,65,60,34,45,63,67,63,65,51,68,61,46,52,65,62,48,66,60,53,64,63,71,61,40,54,65,39,56,65,38,61,64,59,63,28
2018-11-25,87,70,68,100,74,73,70,58,37,63,57,77,76,88,93,80,75,43,72,77,78,76,76,67,81,83,59,81,95,82,63,78,78,64,76,86,82,72,84,79,68,48,83,77,49,74,80,84,87,78
2018-12-02,83,49,76,90,73,72,75,72,35,70,64,78,72,97,85,90,74,47,61,79,78,85,80,67,75,67,69,73,77,76,53,75,79,58,81,83,72,88,65,74,80,43,83,76,76,70,82,83,83,66
2018-12-09,73,61,79,89,75,80,77,61,37,63,83,81,81,91,97,82,70,45,84,71,71,86,72,59,90,68,64,63,73,78,60,71,68,70,83,84,80,78,50,66,97,45,83,86,55,66,73,75,88,60
2018-12-16,62,50,67,60,66,71,71,40,33,61,72,75,71,72,82,71,67,44,72,77,81,82,71,44,78,57,62,68,60,75,45,68,76,73,71,75,72,77,59,62,95,44,64,63,48,65,76,72,95,50
2018-12-23,46,36,53,44,51,52,49,28,27,51,41,38,57,59,59,54,42,34,56,61,54,58,54,48,61,54,50,59,53,52,43,61,54,23,55,52,54,57,40,49,21,36,48,64,42,59,64,49,59,26
2018-12-30,66,52,61,56,49,59,64,24,29,50,37,43,57,61,60,60,60,39,54,67,69,64,65,48,68,59,46,56,55,65,42,70,64,53,64,59,64,73,57,67,60,36,52,63,41,58,67,47,67,48
2019-01-06,64,55,77,73,65,71,73,54,30,65,60,57,68,79,91,76,73,42,49,81,67,77,71,58,72,56,65,69,72,76,55,68,69,66,79,66,77,72,69,64,69,43,66,80,64,68,75,69,72,75
2019-01-13,86,63,76,70,73,70,78,63,35,67,59,59,73,90,84,90,73,44,53,77,72,80,64,65,78,83,63,77,73,79,63,66,69,52,75,85,79,75,74,71,75,47,72,71,56,66,82,71,81,79
2019-01-20,76,53,69,71,68,70,69,53,34,61,74,74,66,84,65,70,74,39,52,74,70,75,58,64,84,85,50,77,46,71,72,59,64,65,71,76,79,64,53,73,61,41,69,71,36,65,74,70,69,66
2019-01-27,83,55,83,83,75,81,67,66,36,62,66,80,67,78,59,91,75,47,69,67,76,58,66,65,77,52,66,74,68,67,64,62,73,49,67,89,77,73,68,85,54,42,72,82,64,68,79,64,57,52
