Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2018-11-18,12,5,14,11,11,12,10,12,11,3,15,15,10,8,9,8,10,9,5,0,10,7,9,12,9,7,27,13,11,11,7,6,12,13,9,6,12,15,10,8,6,6,10,5,10,8,10,11,6,8
2018-11-25,11,9,16,12,16,12,10,9,14,7,12,16,11,7,11,6,18,12,7,7,0,10,10,10,12,6,22,13,13,13,9,6,14,15,10,8,17,16,11,5,12,8,19,7,12,10,12,13,6,9
2018-12-02,9,8,17,10,13,12,10,6,14,3,16,16,11,10,12,9,13,11,6,0,7,9,10,5,11,5,17,13,16,9,8,11,13,15,9,11,18,12,12,5,6,6,12,8,12,10,13,12,7,10
2018-12-09,11,10,17,9,15,14,9,9,14,5,9,17,10,8,13,5,13,11,17,5,4,6,10,12,12,14,15,11,14,12,11,0,12,16,11,8,17,15,12,8,7,8,18,7,12,9,14,13,7,9
2018-12-16,12,8,15,9,9,13,10,0,16,7,14,15,11,9,11,8,14,12,8,9,11,10,9,0,9,8,19,11,13,12,3,7,14,14,11,14,14,13,11,7,9,9,17,8,10,10,18,12,7,10
2018-12-23,13,5,16,9,14,12,9,16,18,7,10,13,11,6,10,5,15,10,7,8,6,7,10,0,10,7,16,9,10,10,6,0,10,14,10,4,13,14,10,5,8,6,20,5,10,8,11,10,7,7
2018-12-30,10,6,20,11,13,15,12,13,17,7,10,18,14,8,12,9,16,13,14,7,5,10,12,0,13,6,12,12,14,13,11,7,13,16,12,8,13,17,14,8,7,10,9,8,14,11,23,15,14,12
2019-01-06,10,7,17,10,17,13,10,16,21,5,8,18,13,9,13,12,17,15,17,5,7,10,11,0,12,9,18,13,15,13,9,6,14,17,14,13,17,17,12,9,9,7,21,9,12,10,18,13,8,12
2019-01-13,10,10,19,11,14,14,10,8,27,7,9,16,12,10,13,6,16,11,18,8,0,9,12,9,12,4,18,13,15,14,6,4,13,16,12,0,19,14,13,8,11,10,20,10,13,9,20,11,8,10
2019-01-20,17,10,18,11,10,13,10,10,19,7,14,16,13,8,11,10,18,13,8,5,0,10,11,8,12,6,19,14,17,14,13,6,14,16,10,18,15,20,13,9,9,10,10,14,13,8,14,12,9,9
2019-01-27,14,9,19,10,14,14,11,7,16,7,14,15,11,11,12,9,16,12,14,8,8,8,11,12,13,8,14,11,13,9,7,20,14,17,12,11,18,17,12,7,9,5,21,10,10,10,11,12,8,12
2019-02-03,13,2,17,10,13,14,11,17,17,16,19,16,11,9,12,7,14,12,12,9,12,8,11,14,11,3,28,13,12,13,6,11,12,16,11,8,16,19,12,7,11,8,16,9,13,9,19,12,9,11
2019-02-10,14,10,19,11,15,15,12,11,26,11,15,17,12,10,11,6,15,12,10,10,9,10,10,9,12,11,29,14,10,11,9,7,14,16,13,15,19,18,13,9,10,9,17,12,12,10,22,13,8,10
2019-02-17,11,8,20,13,15,14,12,14,15,10,15,16,12,10,13,9,17,12,14,10,11,9,11,0,11,11,17,14,13,14,10,13,13,17,11,14,18,17,13,6,10,11,21,11,12,13,18,12,10,10
2019-02-24,16,9,19,11,14,14,11,13,14,6,14,17,12,11,13,8,15,13,17,10,17,9,10,0,11,11,17,11,13,11,11,10,15,16,12,11,13,15,12,10,10,9,19,9,12,10,19,13,10,9
2019-03-03,13,10,16,11,13,14,11,9,16,10,16,15,11,9,11,5,19,13,15,6,5,10,10,8,14,2,27,14,13,11,5,0,14,16,12,13,16,19,12,6,5,7,15,11,15,10,24,13,12,12
2019-03-10,10,7,16,12,13,13,10,11,19,5,14,16,12,7,12,7,16,13,16,0,17,10,10,13,12,2,25,12,14,17,5,11,13,16,11,7,14,17,12,5,9,9,17,10,11,6,20,13,9,10
2019-03-17,14,7,17,11,15,15,10,11,16,10,10,15,13,9,13,8,18,13,11,8,4,9,11,0,12,7,23,10,14,17,11,13,14,16,13,11,15,17,13,8,8,9,19,9,12,8,14,14,11,8
2019-03-24,15,5,18,12,16,15,13,9,16,7,6,16,13,11,12,8,14,11,14,7,4,9,12,0,10,8,23,11,15,14,8,0,13,17,11,4,18,17,12,3,11,8,11,6,13,10,8,16,10,12
2019-03-31,15,10,16,12,13,15,12,10,18,5,18,17,12,8,12,7,14,13,25,17,13,10,11,6,11,15,25,14,15,11,9,3,14,17,10,9,17,15,12,5,10,11,13,7,12,8,20,16,5,10
2019-04-07,16,11,16,10,15,16,10,24,18,8,13,16,10,12,11,7,15,11,17,6,11,9,11,10,11,9,17,16,13,12,9,17,12,17,11,7,16,13,12,9,14,11,18,8,13,10,17,14,10,8
2019-04-14,13,8,17,10,13,15,10,16,20,9,14,16,10,10,12,7,19,11,15,10,5,11,10,11,11,0,11,14,12,15,10,14,13,17,11,10,15,11,12,11,8,10,21,15,12,7,14,13,8,9
2019-04-21,16,11,17,8,13,13,9,13,19,2,10,15,11,11,9,11,16,11,16,8,3,11,10,0,12,9,25,14,13,10,9,7,13,16,12,0,15,14,12,6,11,8,17,9,11,11,18,13,11,8
2019-04-28,15,7,18,11,13,12,10,11,19,5,13,15,11,8,10,8,13,11,20,8,9,10,11,5,10,8,25,11,13,13,6,11,14,16,11,3,14,16,12,7,10,9,19,14,13,8,13,14,9,11
2019-05-05,16,5,15,9,13,14,9,0,14,8,14,17,8,6,12,6,14,13,15,3,11,10,10,15,11,6,12,13,14,14,8,8,12,16,11,14,13,17,12,7,7,6,19,15,12,10,16,14,11,8
2019-05-12,11,7,18,11,15,13,9,13,15,13,12,14,10,11,10,9,17,12,12,0,6,9,11,0,12,10,24,10,13,14,9,12,11,16,10,10,14,15,13,10,8,10,8,9,10,10,16,11,8,9
2019-05-19,12,12,16,10,10,12,9,10,23,5,13,15,10,8,10,6,18,10,8,4,0,9,10,7,12,7,32,11,14,14,9,3,14,17,11,0,12,12,12,6,9,6,14,4,10,8,14,11,9,8
2019-05-26,18,7,16,11,11,14,9,13,20,6,10,14,11,7,13,7,14,10,17,4,10,8,10,0,11,7,19,11,13,11,8,7,14,15,12,10,12,15,12,8,11,7,18,9,10,7,15,9,8,7
2019-06-02,11,7,14,9,11,13,9,17,16,8,11,14,10,8,11,9,15,9,15,4,11,8,10,5,12,6,20,12,13,14,6,0,14,15,11,0,15,9,12,7,8,7,13,11,11,9,22,11,7,8
2019-06-09,15,5,15,9,14,11,8,10,13,6,15,15,9,11,10,9,15,10,12,8,0,10,10,0,10,5,18,10,10,12,8,6,12,15,11,10,12,14,11,8,8,4,13,8,10,10,20,12,7,9
2019-06-16,11,9,16,10,12,12,10,11,8,5,14,16,12,7,10,8,13,10,18,4,6,9,10,5,10,9,9,14,14,9,8,6,12,16,12,6,14,15,12,6,8,8,15,6,12,8,9,10,9,10
2019-06-23,14,7,17,10,11,13,8,10,17,6,12,16,11,10,12,7,18,11,8,0,17,11,10,11,11,8,23,9,11,13,11,6,14,14,11,5,12,17,11,4,8,9,8,12,11,7,14,12,6,8
2019-06-30,9,5,13,10,11,11,10,6,16,6,17,14,10,5,8,10,16,10,10,0,9,9,9,16,11,3,14,11,12,9,6,3,13,14,11,6,12,14,12,4,8,6,18,9,10,10,15,12,6,8
2019-07-07,12,11,15,10,13,12,9,11,15,4,11,13,13,12,12,8,16,10,15,5,0,9,10,6,10,0,17,10,11,11,9,12,12,15,11,11,14,14,12,7,6,8,21,6,10,9,10,12,8,8
2019-07-14,10,8,15,9,13,14,10,12,15,6,11,15,13,11,12,6,17,12,9,8,4,11,11,0,10,7,16,12,12,13,7,8,12,16,13,11,12,14,12,5,8,9,13,13,11,7,18,12,10,8
2019-07-21,12,7,15,11,12,12,9,7,15,4,10,14,11,11,12,4,17,10,10,0,9,9,10,5,10,5,14,14,12,12,9,7,16,16,11,12,17,15,13,8,9,7,8,11,11,8,19,12,6,7
2019-07-28,15,9,17,10,12,14,9,8,14,5,10,15,11,10,12,7,15,11,15,12,8,9,11,9,11,13,0,11,10,12,7,7,15,16,11,14,13,12,12,9,9,7,20,7,10,11,17,12,6,11
2019-08-04,12,7,16,8,12,12,11,8,16,2,13,15,11,10,9,6,14,12,14,0,7,9,11,5,10,7,24,13,10,13,5,10,13,16,11,10,14,16,12,8,9,8,12,8,12,8,16,12,10,9
2019-08-11,11,7,16,10,11,15,10,13,14,10,13,16,12,9,9,8,13,11,11,7,12,12,11,11,11,7,21,12,13,11,8,16,13,17,12,13,15,15,13,9,11,8,18,3,11,12,17,12,8,9
2019-08-18,16,8,17,11,12,13,9,10,8,9,9,15,13,10,11,7,15,12,11,3,6,10,11,8,11,2,15,10,14,13,7,12,13,17,12,7,16,14,13,7,9,5,15,5,12,9,19,13,9,9
2019-08-25,18,6,16,10,12,13,9,6,11,11,12,15,10,10,11,11,15,11,13,14,13,11,9,9,12,7,23,11,13,13,9,10,11,17,12,10,16,13,11,5,8,8,20,9,11,9,19,13,7,8
2019-09-01,12,7,16,11,11,11,9,8,12,5,11,14,11,8,9,10,12,12,13,6,17,8,11,12,12,10,24,11,12,12,7,11,12,16,12,13,12,14,10,8,8,8,14,9,11,8,17,14,6,9
2019-09-08,13,6,15,10,13,13,8,10,18,7,9,15,11,11,12,11,16,12,11,6,5,10,10,9,11,6,38,11,12,15,10,8,14,16,11,12,17,17,11,11,7,9,15,12,12,12,15,15,5,7
2019-09-15,12,5,17,10,14,15,12,9,19,5,12,16,12,11,12,9,17,13,15,12,13,9,11,12,13,9,24,13,13,13,8,15,14,17,13,12,17,16,14,7,12,9,14,9,13,12,15,13,10,11
2019-09-22,12,4,19,10,11,14,12,16,19,5,14,17,12,8,11,10,15,12,15,0,8,11,10,7,13,10,26,12,13,15,9,21,14,17,14,10,16,16,12,4,10,9,14,16,12,10,15,14,9,9
2019-09-29,13,7,16,13,14,15,10,11,13,7,11,16,12,8,11,7,16,12,11,0,6,10,11,12,13,11,15,14,12,9,10,6,14,17,13,11,14,20,13,7,8,11,13,8,13,11,20,13,9,10
