Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2018-11-18,30,41,22,31,25,36,19,0,14,22,24,38,28,28,31,34,16,17,18,37,31,31,44,23,29,35,15,25,34,26,18,34,29,19,25,30,38,22,35,32,25,19,19,29,24,27,28,10,33,51
2018-11-25,56,36,34,33,37,50,37,22,17,32,44,27,37,43,48,58,30,21,42,48,49,37,62,29,42,72,35,41,43,33,30,52,39,26,35,41,65,38,33,45,25,25,29,40,49,41,55,26,47,34
2018-12-02,45,54,31,28,40,55,39,39,18,28,26,34,39,39,62,64,31,25,24,42,45,37,67,36,47,57,26,45,45,33,28,56,33,47,38,48,44,43,32,39,45,28,29,39,27,40,46,17,44,23
2018-12-09,40,24,26,35,37,53,34,35,15,26,46,29,36,32,42,67,25,23,30,45,44,34,59,39,29,47,29,35,52,30,36,42,29,36,32,28,42,35,39,34,34,26,24,36,36,30,52,21,46,8
2018-12-16,34,30,29,24,33,39,34,15,14,23,20,34,28,28,39,42,31,26,15,42,39,35,56,31,26,57,29,43,36,27,27,42,33,42,29,38,43,33,27,39,18,24,22,33,28,31,49,19,36,28
2018-12-23,31,43,20,7,20,28,22,16,10,17,10,23,22,22,25,31,18,14,19,27,27,21,33,20,27,17,14,20,25,16,16,29,19,17,21,26,32,22,19,21,24,14,15,25,17,25,30,17,25,18
2018-12-30,29,24,25,23,26,38,30,33,16,21,19,30,30,27,31,39,25,16,28,30,38,28,43,24,30,43,29,37,47,23,19,40,28,27,25,35,45,31,25,28,45,19,19,29,37,28,45,20,36,25
2019-01-06,43,29,28,27,36,53,31,39,17,29,25,43,33,39,55,48,26,19,39,44,39,37,58,30,36,44,28,36,50,29,20,46,35,49,30,47,54,34,19,39,36,28,25,37,28,34,53,18,45,33
2019-01-13,46,26,29,31,34,47,34,24,18,32,30,49,39,44,54,51,28,22,30,45,42,40,57,42,48,77,26,35,46,31,28,48,35,30,36,33,49,33,37,34,35,28,27,27,32,31,50,31,39,0
2019-01-20,46,32,29,27,33,55,27,35,16,27,29,48,33,38,45,47,28,24,35,39,41,38,61,29,36,41,41,26,40,24,31,42,35,28,37,37,44,37,34,36,35,29,26,43,23,38,45,25,39,39
2019-01-27,45,39,36,33,36,45,38,28,18,29,45,23,32,41,45,54,29,23,27,43,47,31,56,29,42,72,27,41,63,32,24,49,36,46,37,44,62,33,41,43,13,30,27,35,44,39,53,16,32,35
2019-02-03,48,57,35,29,35,48,31,36,18,31,31,47,38,45,56,49,31,25,33,45,44,39,50,50,41,47,26,38,53,37,24,49,35,23,39,52,60,37,25,43,28,25,28,38,45,40,43,31,39,28
2019-02-10,49,47,31,26,37,54,44,32,18,31,20,34,40,41,47,56,25,29,22,44,43,45,60,45,43,52,27,43,54,32,28,52,38,35,38,40,48,39,44,44,42,28,28,44,49,39,42,32,45,42
2019-02-17,44,36,32,30,36,54,39,18,17,27,26,44,39,42,52,48,34,24,27,43,43,44,57,36,37,52,29,35,55,33,18,45,33,21,35,49,52,37,31,42,37,26,29,44,56,40,46,28,43,22
