Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2018-11-18,24,10,24,24,22,26,25,15,13,24,8,37,29,29,25,32,28,13,21,21,24,28,21,17,33,35,24,22,27,27,17,29,27,0,29,19,23,26,19,25,19,19,24,30,18,29,31,24,34,22
2018-11-25,29,24,28,30,23,36,24,29,15,23,18,23,29,28,33,29,25,15,20,33,26,27,28,15,34,17,23,30,31,28,32,32,31,20,31,25,33,28,38,27,22,19,26,26,21,30,23,25,30,0
2018-12-02,31,48,27,18,23,34,18,20,18,22,24,21,29,33,36,30,31,17,26,27,23,32,26,23,36,21,29,27,31,31,25,30,31,13,32,23,23,32,28,29,25,18,27,29,24,29,23,21,36,20
2018-12-09,26,12,32,29,28,34,29,12,13,25,27,35,31,34,32,30,26,19,21,32,31,28,23,24,37,33,31,25,33,27,25,31,30,9,32,27,30,31,39,26,23,21,26,34,20,29,31,30,34,15
2018-12-16,32,44,31,26,29,30,29,27,16,25,28,22,34,33,34,37,29,16,34,31,33,34,33,23,38,21,25,22,41,29,31,32,31,25,35,29,36,36,33,34,22,20,28,35,27,35,30,22,41,19
2018-12-23,27,0,26,21,25,30,29,17,13,26,38,23,29,22,30,28,22,20,26,27,23,25,25,22,34,15,32,22,27,27,38,30,30,25,33,26,26,28,33,26,21,22,25,19,14,29,25,32,33,17
2018-12-30,34,10,29,18,26,33,26,25,13,36,19,31,30,31,31,32,31,19,24,26,29,30,22,25,36,21,33,35,19,31,20,36,36,25,35,29,22,32,21,25,21,23,32,22,7,35,28,25,34,0
2019-01-06,37,31,26,32,28,28,23,29,13,28,27,24,30,24,33,23,32,18,24,26,31,29,30,24,36,29,35,26,29,37,33,48,38,16,36,26,30,31,31,33,35,24,32,27,36,32,30,30,33,24
2019-01-13,27,18,30,20,26,28,32,0,13,24,0,28,30,31,25,26,32,16,35,29,44,31,26,29,32,20,32,37,95,56,37,53,35,11,41,24,37,30,81,30,7,25,30,28,10,38,28,35,32,24
2019-01-20,37,0,30,26,26,34,27,9,13,25,11,21,31,34,27,29,32,15,22,45,33,29,24,28,32,19,38,31,20,30,22,29,54,20,49,29,27,30,50,39,35,41,27,26,18,64,25,33,45,22
2019-01-27,34,28,29,34,28,36,28,18,13,23,18,27,39,37,42,55,29,19,29,26,30,52,25,32,52,19,100,23,25,29,31,27,33,20,73,26,32,27,13,24,26,24,27,29,9,28,23,23,76,70
2019-02-03,38,26,26,51,29,32,25,25,12,24,31,27,51,29,31,50,29,30,29,29,28,27,26,45,84,7,32,24,28,27,54,26,30,14,32,28,28,26,21,29,17,29,38,26,15,27,27,19,32,20
2019-02-10,25,14,28,24,43,28,26,20,13,22,23,31,30,29,31,30,24,36,29,27,25,20,30,25,30,14,20,26,19,26,100,26,27,20,28,25,22,22,26,23,27,18,29,30,18,29,27,20,32,11
2019-02-17,32,19,27,16,42,30,21,10,13,20,11,23,28,25,24,17,25,12,32,24,24,27,19,14,27,16,22,26,19,24,22,25,25,15,27,32,29,29,37,23,21,17,25,22,18,26,25,15,33,22
2019-02-24,26,22,25,22,22,29,24,18,11,20,12,19,28,28,20,22,26,12,22,27,22,23,29,26,26,22,21,23,24,22,21,26,25,20,25,23,27,27,22,25,17,14,32,29,10,26,26,15,29,11
2019-03-03,31,11,24,24,23,27,17,20,11,20,14,29,23,25,21,13,21,12,15,23,25,24,22,28,27,22,12,23,22,26,21,22,22,14,25,20,30,27,28,20,13,17,42,27,12,25,26,14,28,0
2019-03-10,29,8,23,13,23,29,18,17,12,20,9,20,22,26,27,25,24,16,13,25,25,20,19,15,27,0,16,26,27,25,20,23,27,16,22,28,24,26,14,21,19,13,25,18,0,29,28,28,25,8
2019-03-17,26,18,20,25,23,30,26,14,11,20,8,18,26,22,32,20,23,15,18,29,23,23,22,16,28,26,16,23,24,25,26,25,30,0,27,18,23,27,23,26,16,14,24,20,7,24,24,21,29,0
2019-03-24,21,13,21,24,22,30,24,13,12,22,12,22,22,24,23,28,20,12,20,22,26,25,21,25,25,23,18,24,28,26,19,26,29,13,24,14,19,24,18,22,9,12,24,21,19,24,27,16,26,24
2019-03-31,24,29,23,24,23,44,20,12,12,21,26,24,24,23,18,20,27,13,23,18,23,25,18,17,21,22,19,17,20,27,14,21,29,19,25,18,26,24,24,25,15,14,20,16,13,25,19,22,24,19
