Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2018-11-18,37,30,43,35,37,35,52,40,20,35,48,30,44,48,40,42,36,19,40,46,43,39,41,30,38,30,31,35,33,47,36,42,46,33,44,32,42,41,38,42,47,23,37,34,20,41,37,32,46,29
2018-11-25,55,36,56,44,51,56,64,35,23,44,68,53,51,60,52,56,41,34,58,64,57,57,51,44,61,51,40,51,48,59,37,61,55,45,54,47,62,55,47,49,35,33,51,51,65,53,52,55,60,68
2018-12-02,65,42,63,55,53,58,63,59,26,45,66,35,55,63,65,69,44,31,56,64,65,62,48,43,56,52,38,54,51,59,43,61,58,42,60,52,54,58,33,50,37,33,54,50,25,56,55,45,59,38
2018-12-09,56,19,58,59,55,56,69,59,27,43,54,48,61,62,53,59,45,32,49,58,59,57,56,31,53,46,43,53,57,65,37,61,51,51,56,54,44,62,55,47,54,30,49,49,38,52,47,49,67,39
2018-12-16,39,38,45,41,45,47,49,40,22,39,44,32,50,52,50,41,33,30,47,50,47,49,48,31,50,26,30,52,46,56,36,51,42,57,49,31,35,47,44,43,46,27,42,41,37,43,46,43,63,55
2018-12-23,32,25,34,28,29,25,39,32,17,27,38,22,31,37,34,28,23,20,39,30,34,31,34,30,32,31,26,30,34,41,23,36,31,32,32,29,38,34,27,28,21,22,30,25,26,34,35,32,30,18
2018-12-30,32,19,32,45,32,33,49,17,19,31,27,17,37,41,32,31,31,19,26,38,39,38,33,27,33,27,20,34,28,49,24,43,37,30,36,29,33,38,33,37,36,24,34,32,28,42,36,35,38,0
2019-01-06,49,30,44,42,42,44,51,37,21,38,47,27,47,44,55,41,36,30,45,45,48,49,46,41,44,44,28,39,39,51,35,48,46,33,49,47,46,49,30,38,36,26,40,49,28,45,47,24,53,44
2019-01-13,53,46,53,48,45,48,57,46,25,41,41,39,50,65,47,41,46,28,30,53,52,47,54,45,42,63,39,43,47,56,34,44,46,36,47,41,55,48,42,47,45,33,43,40,28,44,54,48,49,37
2019-01-20,53,39,57,41,48,50,52,38,26,39,38,37,47,55,49,36,35,28,37,49,47,48,45,40,53,38,28,44,46,55,39,51,53,26,50,45,47,49,52,40,47,30,46,44,33,49,51,37,47,63
2019-01-27,42,52,56,50,51,52,50,54,24,44,37,42,46,50,41,48,41,29,51,48,48,36,40,47,50,34,40,56,41,55,39,49,52,21,50,58,54,53,42,53,28,28,48,52,27,57,57,36,44,26
2019-02-03,56,44,50,41,49,51,60,44,27,46,43,42,54,58,61,44,54,32,48,55,53,49,44,47,51,25,45,55,55,65,36,53,59,36,55,55,58,58,36,50,32,28,49,52,24,55,44,45,50,33
2019-02-10,54,28,50,34,51,51,61,31,24,44,59,42,53,56,40,45,50,31,42,48,58,54,49,50,60,47,42,50,32,61,38,57,56,24,53,33,45,54,49,45,47,32,49,47,39,51,44,58,52,48
2019-02-17,53,70,50,39,49,55,62,40,26,45,38,45,55,55,48,48,41,29,47,53,51,58,55,41,52,33,29,45,40,62,40,54,51,28,58,46,52,52,43,50,50,29,47,54,53,54,51,42,66,72
2019-02-24,57,39,58,41,55,54,61,46,27,46,40,39,51,60,50,46,45,31,48,53,55,53,48,50,53,32,40,48,38,62,40,57,55,27,53,50,44,54,53,56,43,32,51,48,39,58,49,39,60,32
2019-03-03,51,41,59,45,55,53,65,42,24,44,34,49,57,55,59,50,51,25,46,58,47,58,52,39,55,49,29,51,50,63,44,55,55,39,54,47,56,51,42,47,38,29,49,50,32,52,55,38,70,32
2019-03-10,45,49,50,53,54,57,60,55,26,46,54,46,53,53,59,35,41,31,62,70,56,55,50,38,51,63,39,53,46,56,31,56,55,39,54,55,62,55,47,45,36,32,46,46,38,55,50,49,56,37
2019-03-17,53,45,49,38,56,47,65,74,26,44,46,31,57,52,48,49,50,34,44,54,56,56,51,43,41,36,33,42,53,57,36,58,57,45,54,41,58,56,61,44,58,29,51,43,36,57,56,47,47,38
2019-03-24,59,45,53,47,51,47,72,32,27,44,37,48,50,52,54,54,50,31,41,61,59,56,49,50,54,35,35,40,53,63,28,60,57,41,48,54,38,61,53,44,66,30,56,40,22,56,46,47,47,27
2019-03-31,58,25,59,49,48,57,63,32,27,39,50,53,50,60,58,52,42,36,42,62,57,55,54,36,54,45,38,54,48,64,47,58,54,50,59,49,45,54,45,49,46,31,57,55,40,51,46,41,56,44
2019-04-07,67,25,60,42,55,54,69,31,27,43,43,40,54,60,58,59,47,35,53,65,58,57,52,37,55,53,37,30,45,61,36,54,55,38,56,49,53,55,45,52,62,36,54,52,39,54,49,47,62,31
2019-04-14,61,37,53,54,53,52,48,45,27,47,52,40,47,60,53,57,53,28,32,57,50,55,48,42,53,37,27,39,35,58,33,51,51,35,56,62,55,55,36,42,49,34,53,44,25,52,61,42,56,41
2019-04-21,56,47,59,40,49,56,53,45,27,48,59,57,53,60,60,53,56,25,56,47,52,55,53,47,52,50,41,51,39,54,38,53,59,59,60,37,50,54,42,46,51,32,51,47,40,59,53,54,57,11
2019-04-28,52,34,57,42,54,61,75,39,26,44,54,45,53,56,60,53,40,34,58,60,56,53,53,43,50,46,45,41,46,64,35,56,54,52,53,47,53,57,39,44,51,28,53,43,44,56,57,47,65,32
2019-05-05,51,24,58,45,53,53,64,42,26,44,48,35,51,52,52,50,49,28,45,57,54,50,51,43,53,34,34,53,42,61,33,55,46,47,51,48,43,55,47,49,37,28,48,39,44,50,52,48,56,23
2019-05-12,42,30,48,41,53,54,58,40,24,42,44,35,47,46,36,42,39,27,40,58,46,48,47,39,48,37,26,44,38,55,38,51,48,44,46,39,47,50,48,39,33,25,47,36,20,48,49,43,55,42
2019-05-19,45,33,54,32,52,50,53,64,25,41,42,35,48,50,35,33,39,27,41,46,50,48,46,38,43,40,31,42,43,52,40,48,47,19,48,36,60,46,37,36,22,28,43,45,24,46,48,35,56,17
2019-05-26,40,22,44,32,47,42,42,49,23,37,31,27,44,42,44,45,37,20,27,43,48,49,45,28,41,34,22,38,40,48,26,48,50,24,42,38,52,39,53,34,25,24,38,36,36,42,51,36,45,41
2019-06-02,38,30,47,41,44,43,57,35,22,36,35,40,41,44,34,35,38,29,34,44,53,43,43,46,49,48,21,48,34,50,33,45,46,42,40,50,51,47,44,37,45,25,41,35,28,45,49,36,43,32
2019-06-09,50,21,44,41,44,42,46,43,22,41,35,51,39,50,33,49,41,22,21,42,52,41,48,30,38,51,33,51,30,48,24,48,42,14,44,38,45,46,48,36,26,27,46,35,26,45,55,37,42,29
2019-06-16,55,27,43,37,43,47,47,38,22,45,50,35,42,47,38,47,39,20,30,51,51,40,40,47,45,14,23,47,35,49,32,49,45,36,44,50,40,46,37,36,26,30,47,45,28,46,50,35,44,37
2019-06-23,44,25,44,43,46,38,51,32,25,45,37,37,41,46,36,44,38,29,27,48,44,40,37,38,48,18,40,40,30,47,31,43,42,42,41,45,46,41,47,48,36,28,41,36,19,43,43,29,42,40
2019-06-30,41,35,40,35,39,41,43,21,21,33,23,28,37,38,25,40,29,26,28,37,44,34,31,38,39,20,33,42,30,36,30,37,38,26,42,44,31,41,28,32,32,25,37,30,9,44,38,26,42,20
2019-07-07,55,50,46,38,45,43,46,27,24,43,33,39,46,49,34,38,36,25,29,49,43,44,37,47,48,33,27,51,29,45,32,46,42,23,40,33,44,46,20,37,28,29,43,47,31,41,36,33,37,16
2019-07-14,57,34,56,39,44,45,50,26,22,40,40,30,43,50,37,35,38,23,26,51,41,39,35,43,42,24,31,47,30,47,28,46,44,38,46,44,41,46,32,35,31,27,42,34,33,46,45,37,45,19
2019-07-21,48,35,48,34,46,37,38,40,25,41,44,40,45,47,36,41,40,26,33,44,42,39,37,43,43,37,30,48,37,48,33,42,45,24,48,49,38,45,45,39,0,26,47,42,11,44,44,25,43,28
2019-07-28,44,56,46,39,44,40,46,22,22,37,32,39,40,46,48,44,44,26,26,46,47,44,40,32,39,33,34,41,48,44,35,42,42,36,40,44,44,44,34,40,41,24,43,43,20,45,44,41,42,43
2019-08-04,47,44,51,37,44,45,49,35,24,38,57,30,37,46,48,38,48,26,26,48,42,41,42,38,45,7,30,43,42,44,36,43,45,29,45,42,43,45,25,46,30,26,44,41,29,44,42,30,47,30
2019-08-11,47,26,55,35,47,46,49,40,23,40,57,33,44,45,42,38,36,31,31,47,50,44,39,30,42,33,29,48,36,49,31,44,46,24,47,38,43,51,52,29,42,30,43,42,31,45,43,31,45,25
2019-08-18,57,37,54,44,46,50,51,39,22,44,36,31,44,48,38,49,39,29,33,49,45,43,35,39,52,12,24,44,31,45,39,43,45,55,48,48,35,44,27,47,28,28,44,46,32,47,49,36,48,28
2019-08-25,53,37,57,52,47,51,47,45,21,42,37,44,45,51,42,47,47,30,42,43,48,37,35,39,44,27,31,37,45,51,39,44,52,38,50,44,40,42,45,41,28,29,43,41,24,49,42,52,36,36
2019-09-01,59,18,51,38,46,42,48,36,21,43,43,32,52,54,45,45,43,34,42,48,44,41,42,44,47,34,28,51,35,48,39,42,52,31,48,45,42,50,33,38,33,29,48,42,56,50,40,47,42,22
2019-09-08,60,42,55,50,51,59,61,43,25,51,60,51,52,55,47,60,47,33,34,54,50,49,47,50,51,43,32,63,40,57,46,56,57,47,52,45,46,55,39,52,56,31,48,53,29,46,46,42,45,33
2019-09-15,55,45,63,44,51,59,61,41,27,47,49,55,50,57,57,57,50,36,56,61,52,52,58,50,50,45,51,51,47,55,40,51,62,54,55,53,56,53,46,52,56,31,50,50,17,52,47,45,58,25
2019-09-22,61,36,60,54,56,57,58,48,29,49,48,50,53,49,57,50,45,32,49,63,54,56,57,57,56,44,41,54,47,59,35,54,61,52,61,52,48,55,50,51,49,34,56,60,49,54,51,45,57,34
2019-09-29,55,42,58,52,53,59,64,37,25,49,50,39,53,62,51,56,51,27,53,65,58,60,54,44,59,40,39,44,40,54,41,57,61,47,62,56,48,60,35,53,47,35,52,49,43,59,49,48,57,43
2019-10-06,57,54,53,42,52,51,61,51,29,41,45,52,51,59,66,49,49,33,50,66,58,61,56,40,51,29,44,43,39,55,33,59,62,43,51,43,57,54,45,44,54,29,49,44,32,55,55,43,54,29
2019-10-13,54,42,50,44,51,55,53,71,26,43,53,46,52,55,49,59,47,34,40,62,52,51,53,38,59,36,31,36,35,59,44,57,54,34,51,55,56,52,47,45,41,30,50,43,36,51,56,58,50,37
2019-10-20,54,48,54,49,54,59,73,42,27,47,55,37,52,60,55,59,51,26,53,55,57,54,53,41,50,44,52,51,51,59,38,60,52,54,56,57,55,52,43,55,64,32,48,44,56,58,58,51,55,38
2019-10-27,60,40,52,48,51,51,64,49,28,43,42,45,48,54,59,44,47,35,46,61,55,53,46,44,53,40,45,40,45,57,42,53,51,51,57,45,57,57,43,47,38,31,47,39,33,51,52,41,54,51
2019-11-03,59,32,66,53,53,51,72,48,29,43,58,50,57,56,59,62,51,30,42,53,57,56,58,42,55,48,45,45,59,56,34,55,58,49,58,51,54,53,52,51,46,30,52,47,51,55,53,53,55,30
