Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2018-11-18,51,44,58,54,55,55,47,53,62,45,50,61,53,52,60,46,54,55,38,40,52,55,55,28,58,34,43,57,56,51,49,45,52,57,48,46,50,62,49,57,58,45,58,46,53,54,43,53,44,51
2018-11-25,67,58,76,72,68,68,64,82,71,74,66,79,67,70,70,63,72,73,68,70,84,71,72,57,72,79,66,72,75,63,73,60,68,60,69,52,69,73,64,73,69,67,64,67,66,66,78,73,71,66
2018-12-02,73,58,79,70,72,67,72,69,71,69,69,84,72,67,73,67,68,73,64,65,78,76,70,57,75,59,75,76,73,61,74,63,67,63,68,60,64,77,64,66,67,72,77,68,65,62,73,72,62,69
2018-12-09,75,62,74,69,75,68,67,68,77,61,65,77,63,63,63,65,68,75,65,56,77,67,72,66,70,53,61,72,72,57,67,60,72,62,60,68,65,77,61,69,69,67,71,73,65,68,87,63,63,72
2018-12-16,65,61,65,64,65,61,59,74,66,58,62,73,64,56,63,58,65,62,58,59,63,63,61,73,66,65,51,75,67,53,57,56,59,58,58,49,58,63,52,54,60,55,57,62,58,63,62,64,60,58
2018-12-23,49,42,54,50,58,49,46,49,49,35,40,59,48,45,49,46,45,49,47,41,32,47,48,27,51,51,41,50,53,39,46,33,52,50,44,39,50,52,39,43,48,53,50,38,49,52,52,47,45,45
2018-12-30,52,49,61,53,60,61,58,56,65,60,38,79,62,60,59,56,61,63,44,40,51,64,61,70,67,55,66,55,62,57,55,63,58,56,56,63,62,71,54,54,55,55,60,52,62,63,55,60,54,56
2019-01-06,58,66,73,70,72,68,68,77,68,75,76,74,67,64,68,61,75,72,70,59,59,77,62,67,76,73,62,72,75,66,74,67,66,63,71,65,74,77,60,70,75,71,67,76,69,76,75,69,64,64
2019-01-13,75,70,74,70,71,72,62,76,69,63,69,78,74,68,78,70,71,73,82,72,83,78,70,78,72,84,79,69,76,63,74,71,77,68,65,64,70,72,70,70,70,59,69,73,68,83,46,69,64,70
2019-01-20,79,65,74,69,71,77,70,65,77,73,72,83,73,66,74,64,65,74,57,67,54,71,76,61,80,78,74,71,73,62,76,59,76,66,69,61,71,75,67,72,72,67,77,75,69,76,84,64,70,70
2019-01-27,74,68,77,60,69,75,70,94,83,70,62,76,71,74,74,74,79,72,70,71,55,80,73,71,76,71,68,65,76,69,73,69,78,64,71,67,69,78,66,78,74,64,73,66,66,80,82,80,71,64
2019-02-03,72,70,78,75,73,76,71,74,67,68,63,71,70,70,79,64,68,78,67,77,56,78,78,63,75,70,69,71,73,62,77,73,76,66,67,59,70,75,69,80,79,66,68,78,67,77,76,78,62,68
2019-02-10,72,69,75,71,77,71,67,74,64,63,66,80,79,65,73,64,74,75,73,52,70,72,71,62,85,74,62,76,66,64,75,69,78,63,68,86,77,84,66,83,72,63,72,69,68,76,63,67,69,68
2019-02-17,71,67,76,75,81,79,78,72,78,68,64,75,69,72,78,71,72,73,77,58,73,73,76,71,84,72,70,75,75,68,85,55,72,67,69,66,66,82,69,78,68,64,62,71,70,79,79,75,67,64
2019-02-24,80,69,78,69,72,69,69,82,76,73,67,77,73,71,70,73,70,77,73,69,77,78,60,67,77,71,59,73,76,74,75,83,72,63,69,64,79,81,66,67,69,64,66,67,71,74,87,75,70,70
2019-03-03,67,64,81,71,70,74,72,65,70,78,62,78,68,76,73,72,81,77,65,66,75,82,72,76,80,68,57,72,78,72,73,56,67,64,71,63,72,76,67,67,66,66,63,77,72,78,89,71,65,68
2019-03-10,75,67,76,66,70,74,60,77,68,57,61,90,69,69,68,77,76,76,60,71,66,75,65,71,75,68,71,70,80,68,71,52,66,68,71,64,72,76,63,69,76,55,70,72,67,69,85,75,55,68
2019-03-17,67,66,77,69,75,75,67,61,90,78,65,79,70,70,72,63,78,82,67,60,75,72,71,68,82,82,75,69,76,67,68,64,67,66,71,66,65,86,67,59,73,55,64,71,68,80,74,67,61,68
2019-03-24,69,69,79,71,68,72,70,81,70,73,57,92,74,71,73,62,70,80,78,70,89,74,71,73,77,73,70,67,76,64,75,76,76,69,73,75,67,82,68,73,81,69,73,68,67,80,74,72,73,71
2019-03-31,76,61,73,71,77,81,74,63,71,77,58,87,75,67,75,76,79,84,64,52,78,75,73,61,84,77,62,76,77,74,73,61,71,66,70,51,73,81,68,74,81,74,71,67,72,73,90,75,76,74
2019-04-07,76,70,82,67,71,75,70,77,66,75,73,81,70,70,74,76,80,75,79,57,71,75,74,66,84,86,73,68,79,63,82,78,80,70,74,65,68,83,72,80,85,71,62,66,73,73,100,72,76,67
2019-04-14,74,72,71,75,77,73,74,69,75,69,67,79,70,64,75,69,72,72,64,68,83,76,79,60,79,64,51,73,78,65,77,59,80,68,72,65,68,82,70,68,67,65,71,74,70,72,79,72,66,79
2019-04-21,75,69,79,71,82,72,74,69,72,75,71,73,72,75,75,71,77,78,70,62,76,86,79,67,81,81,59,74,78,63,75,67,79,65,72,72,66,82,69,75,69,66,75,71,71,80,92,72,74,78
2019-04-28,77,81,81,72,79,79,75,85,79,75,68,94,73,68,78,75,70,82,72,82,68,78,73,73,86,74,50,78,84,63,77,63,79,72,71,60,74,81,66,77,80,71,79,78,73,73,79,74,64,75
2019-05-05,69,66,75,66,74,75,74,78,64,73,67,79,69,71,71,68,68,79,78,83,68,72,66,83,74,62,89,71,79,59,82,73,72,69,67,68,68,83,69,69,71,60,77,66,69,76,73,76,68,64
2019-05-12,72,70,75,73,75,69,65,62,76,62,62,74,70,65,71,66,69,72,62,61,73,74,76,62,76,76,86,72,75,62,69,64,80,69,70,54,68,75,70,76,72,62,76,66,65,68,65,70,72,69
2019-05-19,70,58,73,65,73,63,62,77,76,75,58,82,70,70,70,58,74,71,68,58,55,71,69,48,75,65,73,64,77,72,67,73,71,65,66,68,65,72,68,64,75,64,79,58,68,67,66,72,63,64
2019-05-26,76,66,73,65,69,62,58,56,61,64,64,72,70,63,61,60,64,67,56,56,47,73,66,54,76,61,62,61,75,61,70,60,66,60,60,65,60,71,63,60,70,63,70,70,57,60,73,66,63,65
2019-06-02,69,63,69,71,68,66,64,74,50,66,67,76,70,69,73,58,73,74,67,71,59,75,67,65,78,75,61,65,73,64,66,67,73,63,68,68,67,71,64,68,74,61,61,72,66,74,82,67,65,74
2019-06-09,74,63,72,68,70,70,65,58,82,69,80,68,71,66,70,66,66,77,64,64,62,74,67,59,75,70,73,67,75,62,81,71,74,63,72,58,70,73,66,70,73,63,68,71,66,74,67,67,69,68
2019-06-16,76,72,72,67,68,70,66,66,78,74,62,78,71,64,68,68,69,73,66,54,56,76,71,67,74,60,71,68,75,60,82,60,77,69,73,69,62,74,66,75,72,66,74,63,66,78,57,72,69,65
2019-06-23,77,66,74,66,69,71,69,56,70,63,69,70,73,67,65,76,73,73,82,45,66,70,78,69,77,67,56,62,77,65,77,61,73,69,73,66,63,71,71,75,66,64,72,60,64,65,82,75,69,68
