Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2018-11-18,4,7,8,7,7,4,4,0,6,5,6,6,7,4,8,7,9,7,10,4,6,7,6,0,5,4,5,7,6,7,6,4,6,7,6,3,6,7,5,5,5,6,8,6,8,6,5,10,5,5
2018-11-25,5,5,7,9,9,7,9,4,9,7,7,8,9,6,9,7,12,8,6,8,6,9,8,0,7,7,4,8,8,7,11,7,8,8,6,6,9,7,7,9,5,6,3,8,9,8,6,12,7,7
2018-12-02,5,4,8,8,9,7,9,0,8,4,12,8,6,8,8,9,9,9,7,7,12,9,8,5,6,5,9,10,7,6,7,20,7,8,6,12,8,7,7,9,6,7,0,7,8,9,12,7,8,7
2018-12-09,9,6,10,8,9,6,8,6,3,7,7,8,7,7,7,6,10,8,4,7,11,9,7,5,7,11,19,11,6,5,5,13,6,8,6,5,8,8,6,6,8,7,17,6,6,7,14,8,8,6
2018-12-16,5,5,7,5,9,5,6,0,5,6,7,7,6,6,7,4,10,7,9,9,0,7,7,4,6,5,12,7,6,4,10,12,6,7,6,0,6,7,5,5,4,5,3,4,6,6,9,7,6,7
2018-12-23,6,3,6,5,8,5,7,4,2,4,8,6,5,4,5,3,5,7,3,6,5,6,5,0,4,3,0,6,7,4,7,0,6,5,5,3,6,5,4,0,4,4,6,8,5,5,3,7,2,6
2018-12-30,3,2,8,4,6,5,6,4,3,0,9,6,6,6,7,4,6,6,4,9,14,8,6,0,6,6,19,6,7,6,5,8,5,6,7,13,9,4,6,3,4,4,6,4,6,7,2,7,5,5
2019-01-06,5,8,9,6,9,8,8,4,10,4,8,6,7,7,7,6,10,7,9,6,12,8,6,7,8,6,11,11,6,5,5,5,6,8,8,3,8,5,6,5,9,5,4,4,8,6,7,8,8,7
2019-01-13,5,11,9,7,8,5,8,9,9,1,2,7,8,7,8,7,11,9,3,9,0,8,8,0,7,3,7,9,8,6,5,9,6,7,7,7,7,9,7,4,7,8,4,7,8,8,8,8,9,7
2019-01-20,7,8,7,8,8,6,7,4,6,4,11,8,8,7,7,11,10,8,9,11,10,8,7,0,8,5,10,7,7,10,6,14,7,7,7,6,7,9,5,4,9,4,9,2,7,7,12,11,3,8
2019-01-27,8,6,9,6,6,6,8,4,5,5,6,7,8,7,9,10,13,7,9,10,12,8,8,7,9,3,15,8,7,9,8,20,7,8,7,7,10,8,6,8,8,5,7,7,7,11,10,9,11,7
2019-02-03,7,8,10,8,11,7,7,6,5,5,5,7,7,5,9,9,12,8,6,6,9,7,8,9,8,10,8,10,8,9,10,5,11,8,8,8,10,9,6,3,6,6,7,5,7,8,12,18,10,8
2019-02-10,4,3,9,8,11,6,7,3,12,7,9,7,9,6,10,6,11,9,6,11,10,11,8,11,8,9,0,9,8,4,7,11,6,8,7,8,9,7,7,6,7,6,14,5,9,8,11,9,9,9
2019-02-17,6,3,9,8,13,7,8,12,8,4,8,7,8,6,8,6,12,8,7,3,10,8,8,0,10,10,5,12,6,7,6,25,9,8,7,10,10,7,7,9,7,5,14,6,8,9,8,10,7,6
2019-02-24,5,11,9,7,11,6,9,8,11,6,6,7,8,8,11,7,12,9,9,15,14,10,8,0,9,10,13,10,8,7,6,15,7,8,8,7,9,9,8,9,9,7,7,8,8,6,14,11,8,8
2019-03-03,8,8,9,9,9,7,9,7,9,9,6,7,8,12,10,6,10,8,6,5,10,10,8,14,9,3,14,9,8,7,9,6,10,8,8,4,10,7,7,5,6,7,5,8,8,11,11,9,7,9
2019-03-10,6,4,9,8,8,5,9,9,6,6,8,8,9,8,8,7,13,8,12,9,7,12,8,9,10,6,16,8,8,7,12,16,7,8,8,6,8,8,6,7,13,7,5,6,9,7,13,8,6,8
2019-03-17,6,7,9,7,7,7,10,6,6,8,6,7,8,5,8,8,10,8,3,15,7,8,9,4,9,13,12,12,8,5,8,8,9,9,9,12,9,8,6,8,12,8,8,6,8,9,10,10,11,7
